T,E,M
0.31252525252525254,-245760.0,-26.0
0.37303030303030305,-245760.0,-48.0
0.43353535353535355,-245760.0,-106.0
0.49404040404040406,-245752.0,-116.0
0.5545454545454546,-245696.0,-186.0
0.6150505050505051,-245688.0,-294.0
0.6755555555555556,-245584.0,-352.0
0.7360606060606061,-245432.0,-270.0
0.7965656565656566,-245272.0,-290.0
0.8570707070707071,-245104.0,-470.0
0.9175757575757576,-244800.0,-404.0
0.9780808080808081,-244552.0,-414.0
1.0385858585858585,-243960.0,-452.0
1.0990909090909091,-243488.0,-536.0
1.1595959595959597,-242856.0,-516.0
1.2201010101010101,-242152.0,-640.0
1.2806060606060605,-241064.0,-634.0
1.3411111111111111,-240080.0,-406.0
1.4016161616161618,-238504.0,-408.0
1.4621212121212122,-237032.0,-418.0
1.5226262626262625,-235840.0,-474.0
1.5831313131313132,-233864.0,-670.0
1.6436363636363638,-231976.0,-854.0
1.7041414141414142,-229688.0,-726.0
1.7646464646464646,-227352.0,-872.0
1.8251515151515152,-224464.0,-812.0
1.8856565656565658,-220816.0,-732.0
1.9461616161616162,-217840.0,-568.0
2.0066666666666664,-213736.0,-586.0
2.0671717171717168,-209416.0,-864.0
2.1276767676767676,-205432.0,-720.0
2.188181818181818,-201176.0,-640.0
2.2486868686868684,-197400.0,-616.0
2.3091919191919192,-193632.0,-1048.0
2.3696969696969696,-186824.0,-1286.0
2.43020202020202,-180792.0,-1222.0
2.4907070707070704,-176520.0,-1170.0
2.551212121212121,-168752.0,-1152.0
2.6117171717171717,-163272.0,-992.0
2.672222222222222,-157864.0,-1172.0
2.7327272727272724,-150808.0,-890.0
2.7932323232323233,-145280.0,-1158.0
2.8537373737373737,-138216.0,-708.0
2.914242424242424,-131736.0,-1282.0
2.9747474747474745,-125600.0,-750.0
3.035252525252525,-119328.0,-960.0
3.0957575757575757,-113512.0,-800.0
3.156262626262626,-110312.0,-596.0
3.2167676767676765,-105416.0,-306.0
3.2772727272727273,-100720.0,-888.0
3.3377777777777777,-98328.0,-1252.0
3.398282828282828,-94416.0,-1200.0
3.4587878787878785,-91608.0,-1630.0
3.519292929292929,-88952.0,-1532.0
3.5797979797979798,-86608.0,-1168.0
3.64030303030303,-85768.0,-1130.0
3.7008080808080805,-83288.0,-976.0
3.7613131313131314,-81400.0,-1364.0
3.821818181818182,-79904.0,-948.0
3.882323232323232,-76976.0,-700.0
3.9428282828282826,-76464.0,12.0
4.003333333333333,-75040.0,-546.0
4.063838383838384,-72704.0,-276.0
4.124343434343434,-70024.0,-102.0
4.184848484848485,-68368.0,-336.0
4.245353535353535,-67992.0,-200.0
4.305858585858585,-66904.0,-298.0
4.366363636363636,-67528.0,336.0
4.426868686868687,-65008.0,612.0
4.487373737373737,-63184.0,660.0
4.547878787878788,-62208.0,254.0
4.608383838383839,-61768.0,272.0
4.668888888888889,-62176.0,658.0
4.7293939393939395,-61432.0,368.0
4.789898989898989,-59056.0,432.0
4.85040404040404,-58928.0,424.0
4.910909090909091,-57736.0,704.0
4.971414141414141,-56216.0,430.0
5.031919191919192,-56248.0,602.0
5.092424242424242,-54400.0,406.0
5.152929292929293,-54128.0,740.0
5.2134343434343435,-53616.0,528.0
5.2739393939393935,-53912.0,348.0
5.334444444444444,-51776.0,396.0
5.394949494949495,-51512.0,410.0
5.455454545454545,-51408.0,268.0
5.515959595959596,-49440.0,-288.0
5.576464646464647,-51104.0,302.0
5.636969696969697,-49872.0,132.0
5.697474747474748,-48952.0,134.0
5.7579797979797975,-49040.0,-94.0
5.818484848484848,-47392.0,52.0
5.878989898989899,-45336.0,680.0
5.939494949494949,-46576.0,352.0
6.0,-44800.0,-78.0
6.0,-44488.0,266.0
5.939494949494949,-45616.0,304.0
5.878989898989899,-46192.0,446.0
5.818484848484848,-47072.0,-368.0
5.7579797979797975,-48736.0,-540.0
