T,E,M,E2,M2
0.31252525252525254,-5828.0,-48.034229828850854,33965584.0,2338.1809290953547
0.37303030303030305,-5832.0,-101.36919315403424,34012224.0,10300.79217603912
0.43353535353535355,-5841.926650366749,-158.71393643031786,34128111.27628362,25251.9804400978
0.49404040404040406,-5861.056234718826,-162.49388753056235,34351987.20782396,26443.9315403423
0.5545454545454546,-5872.0,-209.5354523227384,34480384.0,43919.17848410758
0.6150505050505051,-5899.555012224939,-216.21026894865525,34804750.03422983,46764.88019559902
0.6755555555555556,-5919.60391198044,-313.0073349633252,35041711.79462103,97997.92665036675
0.7360606060606061,-5956.39119804401,-360.51344743276286,35478597.43765281,129997.25183374083
0.7965656565656566,-5968.80195599022,-423.28117359413204,35626597.750611246,179204.586797066
0.8570707070707071,-6004.8899755501225,-493.5794621026895,36058704.60635697,243703.28606356969
0.9175757575757576,-6022.958435207824,-512.9339853300734,36276033.02689487,263116.1564792176
0.9780808080808081,-6069.251833740831,-540.0635696821516,36835844.67481662,291820.097799511
1.0385858585858585,-6056.728606356968,-559.9413202933986,36683996.17603912,313569.1149144254
1.0990909090909091,-6098.586797066015,-508.5281173594132,37192855.383863084,258613.37897310514
1.1595959595959597,-6120.063569682152,-632.3911980440098,37455185.49633252,399940.8704156479
1.2201010101010101,-6149.334963325184,-649.0953545232273,37814376.850855745,421333.55501222494
1.2806060606060605,-6169.339853300734,-672.6454767726161,38060877.281173594,452472.3520782396
1.3411111111111111,-6188.171149144254,-683.5158924205379,38293468.17603912,467214.249388753
1.4016161616161618,-6155.643031784841,-756.6259168704156,37891979.90220049,572494.6699266504
1.4621212121212122,-6107.378973105135,-828.1662591687042,37300133.93643032,685866.8948655257
1.5226262626262625,-6176.5378973105135,-971.1882640586797,38149654.415647924,943224.8997555012
1.5831313131313132,-6137.398533007335,-925.760391198044,37667707.89242054,857039.217603912
1.6436363636363638,-6099.760391198044,-969.5794621026895,37207115.53056235,940121.4572127139
1.7041414141414142,-6045.2860635696825,-1044.5183374083128,36545531.70660147,1091055.902200489
1.7646464646464646,-5894.635696821516,-1094.6699266503667,34746752.87041565,1198317.8092909534
1.8251515151515152,-5849.20293398533,-1119.515892420538,34213256.72371638,1253336.3618581907
1.8856565656565658,-5793.2420537897315,-1173.3300733496333,33561750.06356968,1376753.5452322739
1.9461616161616162,-5656.132029339853,-1242.5476772616137,31992009.281173594,1543934.151589242
2.0066666666666664,-5652.523227383863,-1303.2665036674816,31951356.07823961,1698515.8728606356
2.0671717171717168,-5656.278728606357,-1348.9779951100245,31993535.46210269,1819809.3105134475
