T,E,M,E2,M2,std_E,std_M
6.0,-4916.680586080586,19.95042735042735,24232372.023443222,25156.65201465202,0.034343541028673694,0.020282164425365352
5.939494949494949,-5406.450549450549,-31.960317460317455,29250301.771428574,29700.45982905983,0.02133712996692115,0.018552114022349925
5.878989898989899,-5581.910500610501,15.436630036630046,31198582.87008547,30230.492307692308,0.027240944229035155,0.017487235631757022
5.818484848484848,-5576.072527472528,2.3582417582417463,31118570.272527475,61409.76312576313,0.021145178846113152,0.017428447859195638
5.7579797979797975,-5706.658608058608,45.28766788766788,32595499.65177045,42316.79169719169,0.027670565137658386,0.016770531818043152
5.697474747474748,-5803.905250305251,22.093772893772893,33737285.87594627,40453.659096459094,0.030184284456820996,0.014696208846636765
5.636969696969697,-5842.995238095237,10.141758241758245,34163175.97728937,19612.643467643466,0.030628792455703668,0.017059180874245267
5.576464646464647,-5884.092918192918,61.2884004884005,34660079.42246643,49748.44346764347,0.025281293934776846,0.012661070018229739
5.515959595959596,-6017.649572649571,68.23785103785103,36241565.56434677,66145.87106227106,0.02974474329065011,0.014700107666245509
5.455454545454545,-6208.701709401709,54.50793650793649,38576634.47985348,75426.22222222222,0.027544828224236706,0.014833292851440446
5.394949494949495,-6244.445909645909,9.668864468864463,39047090.365323566,37700.8336996337,0.023538793530402644,0.011760909437422732
5.334444444444444,-6193.512820512821,95.92612942612944,38384260.798534796,43400.146275946274,0.02713601696721499,0.014199251366564778
5.2739393939393935,-6284.276923076923,144.56190476190477,39527806.13382173,71637.58046398046,0.024425157345430052,0.019961810405139453
5.2134343434343435,-6430.383394383394,56.358241758241746,41390038.28473748,49944.51233211233,0.023879088418763694,0.016579054784556804
5.152929292929293,-6474.174725274725,28.16275946275946,41971792.212698415,77909.48253968253,0.03030134207219617,0.015397934062516822
5.092424242424242,-6596.720024420024,67.64285714285712,43572162.87448108,71956.91746031746,0.029966742792480284,0.011885137343258061
5.031919191919192,-6656.1783882783875,118.88583638583638,44329824.60732601,31404.848107448102,0.029253549511827535,0.01708279600187592
4.971414141414141,-6806.264102564102,53.57570207570207,46379894.86471306,17987.028327228327,0.03121819515525666,0.01683764804536985
4.910909090909091,-6856.597557997558,-0.9161172161172146,47049162.252991445,37948.74945054945,0.02696705251356185,0.016287396848159448
4.85040404040404,-6994.413186813187,21.739804639804632,48954397.1956044,71892.3465201465,0.02921307054314634,0.015122163894555979
4.789898989898989,-7070.401343101344,25.13919413919413,50024365.350671545,37615.61074481074,0.026097510080744936,0.014944432595065598
4.7293939393939395,-7171.199267399268,83.95457875457875,51442655.929181926,56258.238339438336,0.02469393086716939,0.015212938740350412
4.668888888888889,-7408.15177045177,78.62991452991454,54911963.08498169,96576.92234432235,0.02467305722550586,0.0171185987846611
4.608383838383839,-7377.505738705739,118.54017094017092,54471088.88498169,117982.57680097679,0.031138881296329267,0.014763030897319833
4.547878787878788,-7532.159218559218,59.528327228327235,56750292.96947497,69788.61172161171,0.026024089714946807,0.014460215744572498
4.487373737373737,-7628.8625152625145,-23.979975579975598,58229939.63809523,53561.887179487174,0.023689584454941064,0.012527464342802032
4.426868686868687,-7773.02735042735,70.214652014652,60451170.10891331,73525.09157509159,0.022379559026847726,0.013936157800534124
4.366363636363636,-7809.994261294262,64.96617826617828,61034910.32600732,39163.30915750915,0.0313263654790456,0.0162677612167853
4.305858585858585,-7940.450793650794,113.63431013431014,63098881.38266179,64378.0862026862,0.029204986490255627,0.015305160587966523
4.245353535353535,-8066.224908424909,46.92759462759463,65094192.67448107,35154.473992674,0.02291715464796111,0.013968344378750037
4.184848484848485,-8245.67081807082,-72.95531135531135,68034553.1936508,41973.4442002442,0.027085048066247626,0.015972655264668807
4.124343434343434,-8429.480708180708,-31.584004884004887,71106249.28229548,54919.20561660562,0.02429489888061257,0.015099079500011532
4.063838383838384,-8541.444932844934,11.985225885225887,72999509.50866911,85465.94456654457,0.021018093646560453,0.015282313317449758
4.003333333333333,-8719.213064713065,-25.927960927960925,76077793.62564103,67813.08278388278,0.018584145848019307,0.012036141111417506
3.9428282828282826,-8853.975213675214,21.208302808302804,78440704.85396826,80274.94212454213,0.02437253161237729,0.010947631466774023
3.882323232323232,-8969.756166056166,14.552747252747245,80472566.74603175,64107.99584859585,0.02487912254257426,0.012065232075728436
3.821818181818182,-9139.064713064714,37.5034188034188,83557450.47814408,80294.89059829059,0.024006953873981766,0.01465956481396842
3.7613131313131314,-9252.297802197803,89.17228327228327,85643739.78925519,100164.5623931624,0.024492918304133582,0.013450853738462961
3.7008080808080805,-9612.204884004883,88.01135531135532,92421211.87692308,105336.0954822955,0.020489550237605653,0.012053070574273725
3.64030303030303,-9731.498901098901,104.83028083028081,94789338.48693529,104583.92771672772,0.028055948446267902,0.016787414213598136
3.5797979797979798,-9998.442857142858,108.14920634920634,100080201.92844932,126541.87887667886,0.026415617277419493,0.01208659113363347
3.519292929292929,-10284.946886446887,44.62124542124543,105844652.77582416,108672.71062271061,0.01992760688865997,0.013997106906088009
3.4587878787878785,-10413.191452991454,-28.82026862026862,108478289.13699633,76403.88766788767,0.023421993066961546,0.015834294986540008
3.398282828282828,-10827.25177045177,-58.56691086691086,117294013.55995116,170552.94236874237,0.024189695057720024,0.01594485737317519
3.3377777777777777,-11065.224175824176,66.85848595848594,122462409.9150183,168276.49694749695,0.024119560029485728,0.011720115192128821
3.2772727272727273,-11256.647496947495,29.593162393162388,126757767.03907204,155443.9413919414,0.021452162554694437,0.017486853009995897
