T,E,M,E2,M2
0.31252525252525254,-23940.0,70.48840048840049,573123600.0,5023.404151404151
0.37303030303030305,-23952.0,92.43345543345544,573698304.0,8608.94993894994
0.43353535353535355,-23983.252747252747,-47.857142857142854,575196413.2747253,2440.4420024420024
0.49404040404040406,-24060.37606837607,-229.94261294261295,578901742.6666666,53028.105006105005
0.5545454545454546,-24151.625152625154,-415.08302808302807,583301005.3553114,172351.88034188034
0.6150505050505051,-24238.25396825397,-370.7716727716728,587492964.2100122,137852.58608058607
0.6755555555555556,-24338.288156288156,-404.3260073260073,592352292.2344322,163522.5128205128
0.7360606060606061,-24439.19413919414,-330.6898656898657,597274254.2905983,109509.85836385837
0.7965656565656566,-24553.93650793651,-434.1050061050061,602895816.1416361,188568.2148962149
0.8570707070707071,-24708.862026862025,-427.2893772893773,610527875.6288157,182618.0122100122
0.9175757575757576,-24791.210012210013,-496.4713064713065,614604104.4126984,246818.91086691085
0.9780808080808081,-24902.139194139196,-590.6886446886447,620116550.4224664,348945.8608058608
1.0385858585858585,-25024.466422466423,-572.4884004884005,626223943.6239316,327931.25763125764
1.0990909090909091,-25168.378510378512,-695.007326007326,633447301.1135532,483058.86935286934
1.1595959595959597,-25238.702075702076,-751.1159951159951,636992172.9841269,564316.9523809524
1.2201010101010101,-25399.13064713065,-767.2673992673992,645115865.0012211,588842.9597069597
1.2806060606060605,-25358.335775335774,-791.3321123321124,643045288.6520146,626289.3211233211
1.3411111111111111,-25369.74603174603,-731.8913308913309,643624066.4713064,535782.7863247864
1.4016161616161618,-25464.203907203908,-861.5702075702076,648425789.0085471,742526.9255189255
1.4621212121212122,-25372.56043956044,-733.2210012210012,643766928.041514,537687.3650793651
1.5226262626262625,-25246.73137973138,-747.8192918192918,637398052.9499389,559406.9792429792
1.5831313131313132,-25179.29304029304,-902.9304029304029,633997019.4993895,815416.6007326008
1.6436363636363638,-25136.553113553113,-931.4371184371184,631846634.2344322,867646.9328449329
1.7041414141414142,-24961.246642246642,-1076.7069597069597,623064290.3516483,1159426.1758241758
1.7646464646464646,-24602.9768009768,-1162.7557997557997,605306568.4590964,1352085.1892551892
1.8251515151515152,-24620.35775335775,-1138.8095238095239,606162382.2686203,1297080.525030525
1.8856565656565658,-24103.409035409037,-1156.8827838827838,580974661.6117216,1338524.7936507936
1.9461616161616162,-23669.443223443224,-889.9096459096459,560242951.1159952,792018.0903540903
2.0066666666666664,-23387.350427350426,-1152.3931623931624,546968564.1465201,1328095.8925518924
2.0671717171717168,-23073.56166056166,-976.8681318681319,532390166.5518926,954424.5934065934
2.1276767676767676,-22366.91452991453,-897.7716727716728,500279166.2051282,806441.6971916972
2.188181818181818,-21762.822954822954,-938.032967032967,473621477.4065934,880271.0695970696
2.2486868686868684,-21348.35409035409,-837.7435897435897,455752977.3968254,702118.8522588522
2.3091919191919192,-21128.350427350426,-886.6971916971917,446409113.27716726,786329.5457875457
2.3696969696969696,-20636.140415140417,-892.993894993895,425852040.64224666,797638.9304029304
2.43020202020202,-20037.338217338216,-916.5470085470085,401495962.3980464,840355.0134310134
2.4907070707070704,-19616.290598290598,-1019.2625152625153,384799409.9145299,1038998.8376068376
2.551212121212121,-18992.80463980464,-939.1477411477412,360729537.36996335,882084.927960928
2.6117171717171717,-18082.566544566544,-826.4371184371184,326980436.71794873,683106.7057387057
2.672222222222222,-17804.213675213676,-902.3980463980464,316992219.93406594,814406.4175824176
2.7327272727272724,-16985.765567765568,-866.6019536019536,288516946.95482296,751163.5042735043
2.7932323232323233,-16062.094017094018,-833.6336996336996,257991245.87301588,695226.3394383395
2.8537373737373737,-15186.820512820514,-797.9120879120879,230639936.14652014,637065.5238095238
2.914242424242424,-14833.06227106227,-1036.3272283272283,220020847.2185592,1074952.1514041515
2.9747474747474745,-14448.03785103785,-909.4285714285714,208746736.82783884,827216.1514041515
3.035252525252525,-13922.642246642246,-883.002442002442,193841153.7240537,779834.42002442
3.0957575757575757,-13256.715506715507,-964.3809523809524,175745124.30769232,930181.0500610501
3.156262626262626,-12647.269841269841,-756.1465201465202,159957677.23076922,572075.5262515262
3.2167676767676765,-12317.020757020757,-636.6471306471307,151710359.2771673,405854.1147741148
3.2772727272727273,-11925.969474969475,-555.5799755799756,142229357.6141636,309201.16727716726
3.3377777777777777,-11574.577533577534,-766.2075702075703,133971412.07570207,587533.1623931624
3.398282828282828,-11170.233211233211,-421.1758241758242,124774796.27594627,177535.75824175825
3.4587878787878785,-10650.711843711844,-476.7228327228327,113439662.75702076,227376.59096459096
3.519292929292929,-10834.3894993895,-518.3931623931624,117384184.24175824,269511.65323565324
3.5797979797979798,-10782.667887667887,-743.2832722832723,116269142.52747253,552920.0122100122
3.64030303030303,-10404.334554334555,-853.7130647130647,108252365.79242979,729734.2832722833
3.7008080808080805,-10019.34188034188,-813.1587301587301,100388261.43833944,661655.645909646
3.7613131313131314,-9759.31501831502,-738.8217338217338,95244854.94749695,546407.1965811966
3.821818181818182,-9322.361416361417,-590.5433455433456,86906738.21733822,348854.5128205128
3.882323232323232,-9146.191697191698,-446.04273504273505,83654110.78632478,199869.82905982906
3.9428282828282826,-9052.600732600733,-518.1172161172161,81950781.08913308,269004.68864468863
4.003333333333333,-8833.592185592186,-820.1452991452992,78034589.5042735,672790.2832722833
4.063838383838384,-8290.582417582418,-185.36263736263737,68737315.46031746,35265.39682539683
4.124343434343434,-8362.835164835165,-225.53357753357753,69944704.87423687,51204.92307692308
4.184848484848485,-8275.888888888889,-314.02442002442,68490939.31379731,98822.08547008547
4.245353535353535,-7668.648351648351,-361.8498168498169,58810163.90964591,131273.68742368743
4.305858585858585,-7941.945054945055,-334.63492063492066,63075192.442002445,112344.13186813187
4.366363636363636,-8080.1611721611725,-46.53479853479853,65289692.47863248,4422.324786324786
4.426868686868687,-7813.037851037851,-251.76068376068375,61045877.592185594,63607.321123321126
4.487373737373737,-7614.576312576312,221.63614163614164,57982910.56898657,49908.44932844933
4.547878787878788,-7312.218559218559,-17.98046398046398,53469006.31746032,1134.4615384615386
4.608383838383839,-7530.753357753358,139.94261294261295,56712951.46031746,19982.566544566544
4.668888888888889,-7555.324786324786,-105.43223443223444,57084028.62271062,13256.437118437118
4.7293939393939395,-7446.587301587301,183.24297924297923,55456333.99023199,33867.242979242976
4.789898989898989,-6941.418803418804,-128.38339438339437,48184944.45421246,17798.798534798534
4.85040404040404,-6812.191697191697,-153.4932844932845,46406918.02442002,24437.5115995116
4.910909090909091,-6828.91452991453,-87.7960927960928,46637768.212454215,11027.636141636141
4.971414141414141,-6630.424908424909,178.85225885225884,43964819.179487176,32501.953601953603
5.031919191919192,-6349.772893772893,153.04151404151403,40321815.56043956,23866.004884004884
5.092424242424242,-6547.881562881563,-16.117216117216117,42876593.223443225,855.6043956043956
5.152929292929293,-6511.643467643467,-116.57509157509158,42403855.09157509,13771.23076923077
5.2134343434343435,-6099.863247863248,-200.94017094017093,37211629.61660562,40587.73137973138
5.2739393939393935,-6564.014652014652,-364.9133089133089,43088184.35653236,133379.79975579976
5.334444444444444,-6407.058608058608,-289.6080586080586,41051698.46886447,85246.83028083028
5.394949494949495,-6131.807081807082,-100.77289377289377,37600022.984126985,10805.516483516483
5.455454545454545,-6187.520146520146,-45.26862026862027,38287405.33089133,2590.092796092796
5.515959595959596,-6110.946275946276,184.32600732600733,37344396.85225885,34929.07203907204
5.576464646464647,-5975.8351648351645,-93.87912087912088,35712672.5982906,9217.409035409035
5.636969696969697,-5912.547008547009,-67.22466422466422,34959017.4993895,6035.69474969475
5.697474747474748,-5310.089133089133,-38.5006105006105,28199569.96092796,2391.5555555555557
5.7579797979797975,-5792.336996336996,104.62393162393163,33554245.216117214,11431.299145299145
5.818484848484848,-5792.654456654456,-13.722832722832722,33558444.94749695,1120.6471306471306
5.878989898989899,-5734.356532356533,115.86813186813187,32885526.837606836,13919.721611721612
5.939494949494949,-5654.245421245421,-78.4053724053724,31974101.18925519,8043.091575091575
6.0,-5352.20757020757,-6.506715506715507,28655441.025641024,892.6617826617827
6.0,-5924.172161172161,59.58119658119658,35100841.84859585,3773.101343101343
5.939494949494949,-5783.514041514041,153.6910866910867,33449896.102564104,24173.008547008547
5.878989898989899,-5815.686202686203,-115.24420024420024,33826707.885225885,13776.617826617827
5.818484848484848,-5249.623931623932,50.566544566544565,27562337.45054945,2808.1416361416364
5.7579797979797975,-6010.648351648351,417.2148962148962,36128463.22100122,174337.79975579976
5.697474747474748,-5899.18315018315,502.24664224664224,34801526.81562882,253628.83516483515
5.636969696969697,-5800.0940170940175,276.61172161172163,33642222.98168498,76999.0989010989
5.576464646464647,-5882.764346764347,-9.356532356532357,34607724.27350427,594.0830280830281
5.515959595959596,-6122.958485958486,9.107448107448107,37492891.0989011,461.8974358974359
5.455454545454545,-6430.379731379731,-201.93528693528694,41350996.55433455,42307.69474969475
5.394949494949495,-6169.691086691087,226.82539682539684,38072000.940170944,51832.893772893774
5.334444444444444,-6587.5653235653235,238.86813186813185,43397154.84737485,57344.54945054945
5.2739393939393935,-6522.4981684981685,130.25763125763126,42547246.822954826,17464.398046398048
5.2134343434343435,-6756.748473748474,81.66666666666667,45655185.73626374,8997.150183150183
5.152929292929293,-6685.0964590964595,-58.46031746031746,44692500.34676435,4755.577533577533
5.092424242424242,-6484.029304029304,25.75946275946276,42043052.83028083,3496.5103785103784
5.031919191919192,-6095.310134310134,-58.98778998778999,37153908.363858365,3742.200244200244
4.971414141414141,-6212.971916971917,-79.52625152625153,38604419.516483516,6751.531135531135
4.910909090909091,-6905.211233211233,-299.6068376068376,47686586.998779,89915.62881562882
4.85040404040404,-6963.59706959707,-184.86813186813185,48492456.27838828,35151.16239316239
4.789898989898989,-7352.528693528693,36.727716727716725,54060346.6007326,2616.879120879121
4.7293939393939395,-6999.885225885226,-17.18925518925519,48999098.43223443,1366.4126984126983
4.668888888888889,-7586.554334554335,167.3186813186813,57558016.58608059,28217.333333333332
4.608383838383839,-7268.354090354091,107.83150183150182,52829561.76800977,12183.956043956045
4.547878787878788,-7508.511599511599,-212.02442002442004,56378854.02930403,45198.153846153844
4.487373737373737,-7892.063492063492,66.00854700854701,62288901.4017094,5624.998778998779
4.426868686868687,-8036.288156288157,22.978021978021978,64582639.31135531,1060.6520146520147
4.366363636363636,-7921.763125763126,17.885225885225886,62755479.365079366,3849.4749694749694
4.305858585858585,-8172.695970695971,229.24542124542126,66799371.94627595,53385.53846153846
4.245353535353535,-7688.595848595849,306.7924297924298,59115597.35775336,94372.33455433455
4.184848484848485,-8427.451770451771,256.1746031746032,71023463.63125764,66428.55433455434
4.124343434343434,-8366.249084249084,253.90964590964592,69996297.24542125,65302.06105006105
4.063838383838384,-8535.398046398046,371.94627594627593,72854174.71794872,138843.7557997558
4.003333333333333,-8601.673992673992,268.00610500610503,73990060.33943833,74048.48595848595
3.9428282828282826,-8641.75702075702,260.24542124542126,74681497.56532356,68244.54456654457
3.882323232323232,-8856.604395604396,-215.43833943833943,78440071.79242979,47099.5115995116
3.821818181818182,-9194.323565323566,299.0903540903541,84540164.7985348,90865.65811965812
3.7613131313131314,-9546.124542124542,332.0683760683761,91128893.82661782,110712.23443223443
3.7008080808080805,-9365.747252747253,303.02564102564105,87720810.34188034,92004.94261294261
3.64030303030303,-9749.09645909646,435.0683760683761,95048048.72283272,189566.9719169719
3.5797979797979798,-9949.775335775335,336.45177045177047,98999860.01465201,113839.34554334554
3.519292929292929,-10419.620268620269,515.1782661782662,108571153.26251526,265756.442002442
3.4587878787878785,-10378.492063492064,502.38827838827837,107716779.15262516,253017.8021978022
3.398282828282828,-10755.223443223444,627.013431013431,115675998.08547008,394770.67155067157
3.3377777777777777,-11034.557997557997,499.03663003663,121762513.52625152,249378.26862026862
3.2772727272727273,-10971.887667887668,522.8522588522588,120382766.53968254,273651.0866910867
3.2167676767676765,-11417.838827838828,650.7851037851037,130367797.64102565,423835.35775335773
3.156262626262626,-11414.304029304029,672.5409035409035,130287001.13064714,453944.7155067155
3.0957575757575757,-12010.484737484738,690.4175824175824,144253621.08669108,476871.6336996337
3.035252525252525,-12017.846153846154,655.1819291819291,144429798.4078144,429554.76434676436
2.9747474747474745,-12455.544566544566,630.969474969475,155142551.6019536,398756.0390720391
2.914242424242424,-12707.224664224665,877.04884004884,161475505.2722833,769521.0085470085
2.8537373737373737,-13054.807081807081,892.5067155067155,170428513.2039072,797090.6398046399
2.7932323232323233,-13488.614163614164,853.3894993894994,181943116.5054945,728844.8058608059
2.7327272727272724,-13886.70573870574,831.2210012210012,192841192.6202686,691555.0476190476
2.672222222222222,-14425.562881562882,993.8669108669109,208098997.55311355,987946.2344322344
2.6117171717171717,-14713.946275946277,635.047619047619,216500933.17704517,403651.9706959707
2.551212121212121,-15490.990231990232,646.1428571428571,239971490.16605616,417971.7387057387
2.4907070707070704,-15997.196581196582,700.2442002442002,255911546.66666666,490782.85714285716
2.43020202020202,-16508.00122100122,727.9133089133089,272514333.2967033,529988.568986569
2.3696969696969696,-16783.1452991453,619.7362637362637,281674656.51770455,384154.37362637365
2.3091919191919192,-17359.41391941392,598.8791208791209,301351566.06105006,358716.1904761905
2.2486868686868684,-18004.21978021978,581.7167277167277,324154003.7118437,338486.442002442
2.188181818181818,-18534.935286935288,743.3956043956044,343544131.6532357,552870.9426129427
2.1276767676767676,-19477.96214896215,681.9084249084249,379391425.82905984,465111.01587301586
2.0671717171717168,-20313.271062271062,686.5604395604396,412631816.2124542,471513.01343101345
2.0066666666666664,-20927.340659340658,628.8681318681319,437955451.74114776,395596.40781440784
1.9461616161616162,-21402.274725274725,734.04884004884,458057642.3076923,539120.4395604396
1.8856565656565658,-21882.65811965812,691.7826617826618,478851642.50793654,478785.1575091575
1.8251515151515152,-22212.11111111111,703.3772893772893,493378099.7924298,494816.17094017094
1.7646464646464646,-22794.59706959707,688.7557997557998,519594525.2380952,474499.2405372405
1.7041414141414142,-23580.605616605615,544.1953601953602,556045348.4444444,296202.7203907204
1.6436363636363638,-24055.41391941392,607.0769230769231,578663056.0830281,368771.8144078144
1.5831313131313132,-24431.201465201466,545.1978021978022,596885477.0744811,297332.5103785104
1.5226262626262625,-24836.12454212454,554.6581196581196,616833935.1892552,307783.8461538461
1.4621212121212122,-25289.61172161172,586.0525030525031,639565438.6520146,343489.2039072039
1.4016161616161618,-25693.431013431014,591.0622710622711,660152556.3174603,349408.673992674
1.3411111111111111,-26003.442002442003,521.1074481074481,676179268.9108669,271880.70573870576
