T,E,M,E2,M2,std_E,std_M
0.01,-1901.2,960.4,36145614.4,9223681.6,0.0,0.0
0.0705050505050505,-1901.2,960.4,36145614.4,9223681.6,0.0,0.0
0.13101010101010102,-1901.2,960.4,36145614.4,9223681.6,0.0,0.0
0.19151515151515153,-1901.2,960.4,36145614.4,9223681.6,0.0,0.0
0.25202020202020203,-1901.2,960.4,36145614.4,9223681.6,0.0,0.0
0.31252525252525254,-1901.2,960.4,36145614.4,9223681.6,0.0,0.0
0.37303030303030305,-1901.2,960.4,36145614.4,9223681.6,0.0,0.0
0.43353535353535355,-1901.2,960.4,36145614.4,9223681.6,0.0,0.0
0.49404040404040406,-1901.2,960.4,36145614.4,9223681.6,0.0,0.0
0.5545454545454546,-1901.2,960.4,36145614.4,9223681.6,0.0,0.0
0.6150505050505051,-1901.2,960.4,36145614.4,9223681.6,0.0,0.0
0.6755555555555556,-1901.2,960.4,36145614.4,9223681.6,0.0,0.0
0.7360606060606061,-1901.2,960.4,36145614.4,9223681.6,0.0,0.0
0.7965656565656566,-1899.6,960.0,36084801.6,9216000.0,0.0,0.0
0.8570707070707071,-1899.6,960.0,36084801.6,9216000.0,0.0,0.0
0.9175757575757576,-1901.2,960.4,36145614.4,9223681.6,0.0,0.0
0.9780808080808081,-1900.4,960.2,36115201.6,9219840.4,0.0,0.0
1.0385858585858585,-1897.3488000000002,959.3871999999999,35999333.6992,9204238.558400001,0.0009492410442032099,0.00023731026105080246
1.0990909090909091,-1894.2856,958.4214,35883183.116799995,9185716.035600001,0.0006142577960433224,0.0001535644490108306
1.1595959595959597,-1894.8151999999998,958.6538,35903247.68,9190171.1612,0.0003547519696915016,8.868799242287536e-05
1.2201010101010101,-1887.5708,956.766,35629237.28,9154011.9808,0.000450541185686725,0.00013901079094804115
1.2806060606060605,-1879.9238,954.1283999999999,35341137.3076,9103610.1592,0.00048677875878061895,0.000110604882351549
1.3411111111111111,-1875.8952000000002,952.6737999999999,35189830.7456,9075873.8628,0.000522663333322704,0.000130665833330676
1.4016161616161618,-1859.0520000000001,948.4878000000001,34560754.2152,8996291.8404,0.001040584451161942,0.000278012877399591
1.4621212121212122,-1862.3975999999998,949.5422000000001,34685257.9608,9016304.493999999,0.0009877217421926077,0.0002445795576085622
1.5226262626262625,-1851.676,945.557,34287056.502399996,8940782.2868,0.0012811182615199896,0.0004340863969303807
1.5831313131313132,-1813.6468,932.2040000000001,32893158.113599997,8690045.236,0.0010470003629416754,0.00047537774453585856
1.6436363636363638,-1809.6154,932.3969999999999,32747088.2212,8693643.0836,0.0009623943266665698,0.00037782403311594664
1.7041414141414142,-1811.6796,932.2128,32821846.2504,8690208.7904,0.001285295234566751,0.00041779918621270677
1.7646464646464646,-1771.9126,915.7620000000001,31396753.253200002,8386204.0976,0.0010311552938330872,0.0006075491749644635
1.8251515151515152,-1724.7522000000001,898.9399999999999,29747727.028399996,8080933.1984,0.001597321245085033,0.0004429898418699915
1.8856565656565658,-1717.1002,894.1691999999999,29484339.6316,7995388.992000001,0.0009307631062735565,0.0005839275297500539
1.9461616161616162,-1663.5295999999998,867.5319999999999,27673334.764,7526118.907199999,0.0016572036205608528,0.0003459710970586994
2.0066666666666664,-1614.2228,839.577,26057185.7016,7048898.872400001,0.0018226684174583157,0.0005901787864706761
2.0671717171717168,-1587.0832,824.9324,25188345.3968,6805140.5744,0.0012066307471633561,0.0007699806750821739
2.1276767676767676,-1505.6134,757.8122000000001,22668889.321200002,5742806.724400001,0.004149922943862934,0.001158434788842255
2.188181818181818,-1442.4028,705.9154000000001,20805305.684,4983170.6924,0.0021750752078951202,0.0007192237760252369
2.2486868686868684,-1392.026,613.6551999999999,19377387.9232,3765732.2847999996,0.0015516584675759032,0.0007238735801229385
2.3091919191919192,-1278.7642,468.81499999999994,16352540.193200001,2197881.8628,0.004017476615986707,0.0008258662119253942
2.3696969696969696,-1163.1280000000002,58.257000000000005,13528694.544800002,33948.6468,0.001646236920980695,0.000993293008130028
2.43020202020202,-1106.8836,5.7912,12251982.0008,361.89119999999997,0.0026260485600993746,0.001628226814666802
2.4907070707070704,-1031.7852,-58.55159999999999,10645851.8904,34396.504,0.0021189858328927074,0.0033705396363193836
2.551212121212121,-1043.0826,19.502000000000002,10880295.9828,3838.94,0.0028788638800749163,0.001888384494746766
2.6117171717171717,-954.4536,-26.8576,9110146.5896,7229.2576,0.005743205293213886,0.001262965652739614
2.672222222222222,-952.726,-34.147800000000004,9076884.5592,11674.3612,0.0012746936886954452,0.0011678506582607213
2.7327272727272724,-893.2974,-13.584200000000001,7979884.9964000005,1886.1779999999999,0.0028731155980920783,0.002021709761563217
2.7932323232323233,-842.115,-39.0006,7091726.086,15221.2772,0.0038646312890106343,0.0010396728523915585
2.8537373737373737,-843.845,-94.4778,7120769.8652,89271.142,0.0016132250308001053,0.001029323642009645
2.914242424242424,-812.3507999999999,40.1052,6599165.7992,16101.2568,0.0016606201733087554,0.0013033084669409618
2.9747474747474745,-785.8352,-2.2664,6175553.779200001,78.9648,0.004291428778390712,0.0016612979985541425
3.035252525252525,-744.9682,-2.7128,5549843.2412,100.292,0.002589422476151777,0.0016339878090120504
3.0957575757575757,-749.796,-0.8894,5621972.996,13.0588,0.0018049886426235481,0.0007175288426258556
3.156262626262626,-736.6268,33.0854,5426218.3864,10979.0284,0.0016721727661937326,0.0018053107322563617
3.2167676767676765,-708.5716,-3.0276,5020841.457599999,128.5152,0.0032300825747958823,0.0019196765977632791
