T,E,M
1.3411111111111111,-13648.0,432.0
1.2806060606060605,-13984.0,454.0
1.2201010101010101,-14064.0,426.0
1.1595959595959597,-14280.0,522.0
1.0990909090909091,-14440.0,570.0
1.0385858585858585,-14528.0,576.0
0.9780808080808081,-14552.0,612.0
0.9175757575757576,-14688.0,632.0
0.8570707070707071,-14696.0,636.0
0.7965656565656566,-14672.0,650.0
0.7360606060606061,-14712.0,594.0
0.6755555555555556,-14784.0,672.0
0.6150505050505051,-14840.0,704.0
0.5545454545454546,-14864.0,692.0
0.49404040404040406,-14928.0,674.0
0.43353535353535355,-14944.0,710.0
0.37303030303030305,-14976.0,776.0
0.31252525252525254,-14992.0,736.0
0.25202020202020203,-15024.0,748.0
0.19151515151515153,-15032.0,744.0
0.13101010101010102,-15032.0,816.0
0.0705050505050505,-15048.0,820.0
0.01,-15056.0,798.0
0.01,-15064.0,796.0
0.0705050505050505,-15080.0,828.0
0.13101010101010102,-15080.0,832.0
0.19151515151515153,-15080.0,862.0
0.25202020202020203,-15080.0,842.0
0.31252525252525254,-15096.0,872.0
0.37303030303030305,-15104.0,880.0
0.43353535353535355,-15128.0,872.0
0.49404040404040406,-15136.0,880.0
0.5545454545454546,-15120.0,900.0
0.6150505050505051,-15144.0,912.0
0.6755555555555556,-15144.0,926.0
0.7360606060606061,-15152.0,948.0
0.7965656565656566,-15128.0,980.0
0.8570707070707071,-15128.0,1000.0
0.9175757575757576,-15128.0,1036.0
0.9780808080808081,-15128.0,1006.0
1.0385858585858585,-15136.0,1086.0
1.0990909090909091,-15088.0,1104.0
1.1595959595959597,-15112.0,1200.0
1.2201010101010101,-15064.0,1200.0
1.2806060606060605,-15072.0,1224.0
1.3411111111111111,-14944.0,1258.0
1.4016161616161618,-14872.0,1282.0
1.4621212121212122,-14888.0,1292.0
1.5226262626262625,-14768.0,1292.0
1.5831313131313132,-14648.0,1304.0
1.6436363636363638,-14368.0,1284.0
1.7041414141414142,-14568.0,1270.0
1.7646464646464646,-14576.0,1298.0
1.8251515151515152,-14144.0,1288.0
1.8856565656565658,-13888.0,1294.0
1.9461616161616162,-13784.0,1316.0
2.0066666666666664,-13480.0,1310.0
2.0671717171717168,-13176.0,1292.0
2.1276767676767676,-13480.0,1386.0
2.188181818181818,-12888.0,1360.0
2.2486868686868684,-12432.0,1314.0
2.3091919191919192,-12200.0,1330.0
2.3696969696969696,-11432.0,1200.0
2.43020202020202,-11336.0,1266.0
2.4907070707070704,-11120.0,1300.0
2.551212121212121,-10952.0,1290.0
2.6117171717171717,-10624.0,1194.0
2.672222222222222,-10464.0,1140.0
2.7327272727272724,-10104.0,1032.0
2.7932323232323233,-9440.0,974.0
2.8537373737373737,-8936.0,940.0
2.914242424242424,-8752.0,922.0
2.9747474747474745,-7920.0,770.0
3.035252525252525,-7208.0,742.0
3.0957575757575757,-6744.0,648.0
3.156262626262626,-6184.0,572.0
3.2167676767676765,-6776.0,436.0
3.2772727272727273,-6640.0,340.0
3.3377777777777777,-6328.0,198.0
3.398282828282828,-5928.0,226.0
3.4587878787878785,-5848.0,134.0
3.519292929292929,-5256.0,200.0
3.5797979797979798,-5672.0,182.0
3.64030303030303,-5400.0,270.0
3.7008080808080805,-5088.0,342.0
3.7613131313131314,-4928.0,154.0
3.821818181818182,-4944.0,-40.0
3.882323232323232,-4976.0,8.0
3.9428282828282826,-4720.0,-60.0
4.003333333333333,-4440.0,34.0
4.063838383838384,-4408.0,158.0
4.124343434343434,-4216.0,90.0
4.184848484848485,-4488.0,120.0
4.245353535353535,-4104.0,8.0
4.305858585858585,-3944.0,-68.0
4.366363636363636,-4128.0,88.0
4.426868686868687,-4296.0,118.0
4.487373737373737,-4184.0,160.0
4.547878787878788,-4112.0,-32.0
4.608383838383839,-3792.0,12.0
4.668888888888889,-3752.0,170.0
4.7293939393939395,-3488.0,30.0
4.789898989898989,-3512.0,76.0
4.85040404040404,-3832.0,108.0
4.910909090909091,-3384.0,72.0
4.971414141414141,-3328.0,48.0
5.031919191919192,-3672.0,128.0
5.092424242424242,-3656.0,8.0
5.152929292929293,-3392.0,110.0
5.2134343434343435,-3184.0,-52.0
5.2739393939393935,-3552.0,-66.0
5.334444444444444,-3648.0,-154.0
5.394949494949495,-3224.0,-84.0
5.455454545454545,-3504.0,72.0
5.515959595959596,-3240.0,8.0
5.576464646464647,-3272.0,104.0
5.636969696969697,-3096.0,-26.0
5.697474747474748,-3208.0,8.0
5.7579797979797975,-3000.0,-8.0
5.818484848484848,-2904.0,72.0
5.878989898989899,-3336.0,118.0
5.939494949494949,-3336.0,-4.0
6.0,-2832.0,-40.0
6.0,-3192.0,68.0
5.939494949494949,-2952.0,94.0
5.878989898989899,-3160.0,-78.0
5.818484848484848,-2992.0,-34.0
5.7579797979797975,-3168.0,38.0
5.697474747474748,-3136.0,72.0
5.636969696969697,-3144.0,144.0
5.576464646464647,-3384.0,-24.0
5.515959595959596,-2856.0,-166.0
5.455454545454545,-3008.0,156.0
5.394949494949495,-3320.0,220.0
5.334444444444444,-3480.0,290.0
5.2739393939393935,-3368.0,102.0
5.2134343434343435,-3264.0,84.0
5.152929292929293,-3392.0,112.0
5.092424242424242,-3256.0,-26.0
5.031919191919192,-3352.0,-108.0
4.971414141414141,-3528.0,-108.0
4.910909090909091,-3400.0,-74.0
4.85040404040404,-3768.0,-194.0
4.789898989898989,-3672.0,-6.0
4.7293939393939395,-3560.0,58.0
4.668888888888889,-3664.0,12.0
4.608383838383839,-3792.0,-58.0
4.547878787878788,-4008.0,88.0
4.487373737373737,-3872.0,-26.0
4.426868686868687,-4368.0,-34.0
4.366363636363636,-3888.0,-64.0
4.305858585858585,-4032.0,-154.0
4.245353535353535,-4152.0,-200.0
4.184848484848485,-4240.0,-252.0
4.124343434343434,-4160.0,-172.0
4.063838383838384,-4536.0,-188.0
4.003333333333333,-4672.0,-172.0
3.9428282828282826,-4720.0,-90.0
3.882323232323232,-4992.0,-14.0
3.821818181818182,-5104.0,28.0
3.7613131313131314,-4640.0,-80.0
3.7008080808080805,-5072.0,-66.0
3.64030303030303,-4992.0,-48.0
3.5797979797979798,-5056.0,-68.0
3.519292929292929,-5296.0,-146.0
3.4587878787878785,-5328.0,-8.0
3.398282828282828,-5720.0,96.0
3.3377777777777777,-5536.0,104.0
3.2772727272727273,-5616.0,-2.0
3.2167676767676765,-5600.0,-12.0
3.156262626262626,-5672.0,40.0
3.0957575757575757,-5840.0,72.0
3.035252525252525,-6072.0,-12.0
2.9747474747474745,-6136.0,124.0
2.914242424242424,-6232.0,80.0
2.8537373737373737,-6584.0,118.0
2.7932323232323233,-6760.0,0.0
2.7327272727272724,-7360.0,-8.0
2.672222222222222,-7632.0,-108.0
2.6117171717171717,-7720.0,-200.0
2.551212121212121,-7896.0,-268.0
2.4907070707070704,-7968.0,-250.0
2.43020202020202,-8144.0,-338.0
2.3696969696969696,-8416.0,-300.0
2.3091919191919192,-8632.0,-252.0
2.2486868686868684,-8872.0,-252.0
2.188181818181818,-9520.0,-200.0
2.1276767676767676,-9736.0,-150.0
2.0671717171717168,-9936.0,-104.0
2.0066666666666664,-10000.0,-38.0
1.9461616161616162,-10360.0,-90.0
1.8856565656565658,-10672.0,-228.0
1.8251515151515152,-11224.0,-194.0
1.7646464646464646,-11536.0,-224.0
1.7041414141414142,-11976.0,-190.0
1.6436363636363638,-12336.0,-156.0
1.5831313131313132,-12600.0,-256.0
